"","field_1","field_2","field_3","field_4","field_5"
"1",8521,5.90000000002328,31.8500000000931,8,50
"2",6676,90.5200000000186,44.7900000000373,8.01,50
"3",12752,42.3099999999395,3.97999999998137,8.07,50
"4",7945,31.4899999999907,35.8300000000745,8.08,50
"5",8992,25.5799999999581,28.8600000003353,8.08,50
"6",13242,13.7700000000186,0,8.08,50
"7",7523,51.1700000000419,38.820000000298,8.1,50
"8",13126,21.6500000000233,0.990000000223517,8.13,50
"9",8088,26.5699999999488,34.8300000000745,8.14,50
"10",13009,29.5200000000186,1.99000000022352,8.14,50
"11",12073,75.7600000000093,8.95999999996275,8.17,50
"12",10056,12.7900000000373,21.9000000003725,8.18,45
"13",8994,27.5500000000466,28.8600000003353,8.19,50
"14",9276,12.7900000000373,26.8700000001118,8.2,50
"15",8542,26.5699999999488,31.8500000000931,8.21,45
"16",10212,17.7099999999627,20.9000000003725,8.23,50
"17",10359,12.7900000000373,19.910000000149,8.23,50
"18",7663,44.2800000000279,37.820000000298,8.25,50
"19",12022,25.5799999999581,8.95999999996275,8.25,45
"20",8993,26.5699999999488,28.8600000003353,8.27,50
"21",9486,70.8399999999674,25.8800000003539,8.28,55
"22",9128,15.7399999999907,27.8700000001118,8.29,50
"23",8831,12.7900000000373,29.8600000003353,8.31,45
"24",9305,41.3299999999581,26.8700000001118,8.31,45
"25",10067,23.609999999986,21.9000000003725,8.31,50
"26",6988,95.4399999999441,42.8000000002794,8.32,45
"27",7804,38.3699999999953,36.820000000298,8.33,50
"28",7946,32.4699999999721,35.8300000000745,8.34,50
"29",8848,29.5200000000186,29.8600000003353,8.34,50
"30",11801,89.5400000000373,10.9500000001863,8.34,50
"31",8853,34.4399999999441,29.8600000003353,8.36,50
"32",7664,45.2600000000093,37.820000000298,8.37,50
"33",9131,18.6899999999441,27.8700000001118,8.37,50
"34",9582,12.7900000000373,24.8800000003539,8.37,55
"35",11528,104.300000000047,12.9400000004098,8.37,50
"36",11881,26.5699999999488,9.95000000018626,8.37,45
"37",7541,68.8800000000047,38.820000000298,8.39,45
"38",11527,103.319999999949,12.9400000004098,8.39,50
"39",7248,64.9399999999441,40.8100000000559,8.4,50
"40",6989,96.4300000000512,42.8000000002794,8.41,45
"41",8090,28.5300000000279,34.8300000000745,8.43,50
"42",10521,24.5999999999767,18.910000000149,8.44,55
"43",11734,23.609999999986,10.9500000001863,8.44,55
"44",11938,82.6500000000233,9.95000000018626,8.45,50
"45",6826,84.6199999999953,43.7900000000373,8.46,50
"46",9024,57.0699999999488,28.8600000003353,8.46,45
"47",10358,11.8099999999395,19.910000000149,8.46,50
"48",7682,62.9699999999721,37.820000000298,8.47,45
"49",8016,101.349999999977,35.8300000000745,8.47,45
"50",6992,99.3800000000047,42.8000000002794,8.48,45
"51",8234,19.6800000000512,33.8400000003166,8.48,50
"52",10055,11.8099999999395,21.9000000003725,8.48,45
"53",10068,24.5999999999767,21.9000000003725,8.48,50
"54",8701,34.4399999999441,30.8500000000931,8.49,50
"55",10054,10.8199999999488,21.9000000003725,8.49,45
"56",12614,48.2099999999627,4.97999999998137,8.49,50
"57",10057,13.7700000000186,21.9000000003725,8.5,45
"58",12205,68.8800000000047,7.95999999996275,8.51,50
"59",6685,99.3800000000047,44.7900000000373,8.53,50
"60",7385,58.0500000000466,39.8100000000559,8.53,50
"61",7542,69.859999999986,38.820000000298,8.53,45
"62",11054,101.349999999977,15.9200000003912,8.53,55
"63",7543,70.8399999999674,38.820000000298,8.54,45
"64",8004,89.5400000000373,35.8300000000745,8.55,55
"65",8716,49.1999999999534,30.8500000000931,8.55,55
"66",11664,96.4300000000512,11.9400000004098,8.55,50
"67",7531,59.0400000000373,38.820000000298,8.56,50
"68",13125,20.6600000000326,0.990000000223517,8.56,50
"69",7805,39.359999999986,36.820000000298,8.57,50
"70",9271,7.86999999999534,26.8700000001118,8.57,50
"71",10058,14.7600000000093,21.9000000003725,8.57,45
"72",6531,98.4000000000233,45.7800000002608,8.58,50
"73",7270,86.5899999999674,40.8100000000559,8.59,45
"74",9448,33.4499999999534,25.8800000003539,8.59,45
"75",9926,34.4399999999441,22.8900000001304,8.59,50
"76",7405,77.7299999999814,39.8100000000559,8.6,45
"77",8545,29.5200000000186,31.8500000000931,8.6,45
"78",9908,16.7299999999814,22.8900000001304,8.6,45
"79",9924,32.4699999999721,22.8900000001304,8.6,50
"80",12339,61.9899999999907,6.97000000020489,8.6,50
"81",6990,97.4100000000326,42.8000000002794,8.61,45
"82",8379,13.7700000000186,32.8400000003166,8.61,50
"83",9421,6.89000000001397,25.8800000003539,8.61,50
"84",8850,31.4899999999907,29.8600000003353,8.62,50
"85",9176,62.9699999999721,27.8700000001118,8.62,50
"86",10361,14.7600000000093,19.910000000149,8.62,50
"87",7662,43.2900000000373,37.820000000298,8.63,50
"88",12748,38.3699999999953,3.97999999998137,8.63,50
"89",9023,56.0899999999674,28.8600000003353,8.64,45
"90",10360,13.7700000000186,19.910000000149,8.64,50
"91",7128,90.5200000000186,41.8000000002794,8.65,45
"92",8094,32.4699999999721,34.8300000000745,8.65,50
"93",9211,97.4100000000326,27.8700000001118,8.65,45
"94",9907,15.7399999999907,22.8900000001304,8.65,45
"95",8014,99.3800000000047,35.8300000000745,8.66,45
"96",9166,53.1300000000047,27.8700000001118,8.66,45
"97",9906,14.7600000000093,22.8900000001304,8.66,45
"98",11729,18.6899999999441,10.9500000001863,8.66,55
"99",9133,20.6600000000326,27.8700000001118,8.67,50
"100",8308,90.5200000000186,33.8400000003166,8.68,45
"101",8606,89.5400000000373,31.8500000000931,8.68,50
"102",10825,28.5300000000279,16.9200000003912,8.68,45
