"","field_1","field_2","field_3","field_4","X_mean"
"1",16,6.92000000004191,25.7099999999627,6.84,40
"2",17,7.9100000000326,25.7099999999627,6.76,40
"3",18,8.89000000001397,25.7099999999627,6.26,40
"4",19,9.88000000000466,25.7099999999627,5.82,30
"5",20,10.8700000001118,25.7099999999627,6.49,30
"6",22,12.8500000000931,25.7099999999627,6.68,35
"7",25,15.8200000000652,25.7099999999627,6.6,40
"8",26,16.8000000000466,25.7099999999627,5.41,40
"9",27,17.7900000000373,25.7099999999627,5.66,30
"10",28,18.7800000000279,25.7099999999627,6.26,30
"11",30,20.7600000000093,25.7099999999627,6.27,35
"12",33,23.7300000000978,25.7099999999627,6.55,40
"13",34,24.7100000000792,25.7099999999627,6.44,40
"14",203,6.92000000004191,24.7199999997392,6.7,40
"15",204,7.9100000000326,24.7199999997392,6.7,40
"16",206,9.88000000000466,24.7199999997392,5.96,30
"17",209,12.8500000000931,24.7199999997392,6.59,35
"18",211,14.8300000000745,24.7199999997392,6.62,40
"19",212,15.8200000000652,24.7199999997392,6.63,40
"20",214,17.7900000000373,24.7199999997392,6.43,30
"21",217,20.7600000000093,24.7199999997392,6.27,35
"22",219,22.7400000001071,24.7199999997392,6.44,40
"23",220,23.7300000000978,24.7199999997392,6.53,40
"24",403,5.93000000005122,23.7299999999814,6.86,40
"25",404,6.92000000004191,23.7299999999814,6.8,40
"26",405,7.9100000000326,23.7299999999814,6.75,40
"27",407,9.88000000000466,23.7299999999814,6.4,30
"28",409,11.8600000001024,23.7299999999814,6.42,35
"29",410,12.8500000000931,23.7299999999814,6.37,35
"30",412,14.8300000000745,23.7299999999814,6.58,40
"31",413,15.8200000000652,23.7299999999814,6.11,40
"32",415,17.7900000000373,23.7299999999814,6.44,30
"33",417,19.7700000000186,23.7299999999814,6.56,35
"34",418,20.7600000000093,23.7299999999814,6.44,35
"35",420,22.7400000001071,23.7299999999814,6.66,40
"36",421,23.7300000000978,23.7299999999814,6.63,40
"37",590,5.93000000005122,22.75,6.81,40
"38",591,6.92000000004191,22.75,6.76,40
"39",592,7.9100000000326,22.75,6.26,40
"40",593,8.89000000001397,22.75,5.61,30
"41",594,9.88000000000466,22.75,6.42,30
"42",596,11.8600000001024,22.75,6.6,35
"43",599,14.8300000000745,22.75,6.75,40
"44",600,15.8200000000652,22.75,5.46,40
"45",601,16.8000000000466,22.75,6.03,30
"46",602,17.7900000000373,22.75,6.53,30
"47",604,19.7700000000186,22.75,6.42,35
"48",607,22.7400000001071,22.75,6.62,40
"49",608,23.7300000000978,22.75,6.64,40
"50",768,5.93000000005122,21.7599999997765,6.67,40
"51",769,6.92000000004191,21.7599999997765,6.68,40
"52",771,8.89000000001397,21.7599999997765,6.13,30
"53",774,11.8600000001024,21.7599999997765,6.54,35
"54",776,13.8400000000838,21.7599999997765,6.61,40
"55",777,14.8300000000745,21.7599999997765,6.79,40
"56",779,16.8000000000466,21.7599999997765,6.26,30
"57",782,19.7700000000186,21.7599999997765,6.44,35
"58",784,21.75,21.7599999997765,6.62,40
"59",785,22.7400000001071,21.7599999997765,6.72,40
"60",941,4.94000000006054,20.769999999553,6.59,40
"61",942,5.93000000005122,20.769999999553,6.75,40
"62",943,6.92000000004191,20.769999999553,6.64,40
"63",945,8.89000000001397,20.769999999553,6.14,30
"64",947,10.8700000001118,20.769999999553,6.47,35
"65",948,11.8600000001024,20.769999999553,6.46,35
"66",950,13.8400000000838,20.769999999553,6.46,40
"67",951,14.8300000000745,20.769999999553,5.48,40
"68",953,16.8000000000466,20.769999999553,6.3,30
"69",955,18.7800000000279,20.769999999553,6.32,35
"70",956,19.7700000000186,20.769999999553,6.4,35
"71",958,21.75,20.769999999553,6.71,40
"72",959,22.7400000001071,20.769999999553,6.63,40
"73",1108,4.94000000006054,19.7799999997951,6.62,40
"74",1109,5.93000000005122,19.7799999997951,6.64,40
"75",1110,6.92000000004191,19.7799999997951,6.23,40
"76",1111,7.9100000000326,19.7799999997951,5.68,30
"77",1112,8.89000000001397,19.7799999997951,6.31,30
"78",1114,10.8700000001118,19.7799999997951,6.39,35
"79",1117,13.8400000000838,19.7799999997951,6.67,40
"80",1118,14.8300000000745,19.7799999997951,5.45,40
"81",1119,15.8200000000652,19.7799999997951,5.79,30
"82",1120,16.8000000000466,19.7799999997951,6.46,30
"83",1122,18.7800000000279,19.7799999997951,6.11,35
"84",1125,21.75,19.7799999997951,6.69,40
"85",1126,22.7400000001071,19.7799999997951,6.61,40
"86",1266,4.94000000006054,18.7899999995716,6.64,40
